"cellosaurus_assession","id"
"CVCL_1051",1
"CVCL_1059",2
"CVCL_0134",3
"CVCL_0132",4
"CVCL_1055",5
"CVCL_1056",6
"CVCL_0023",7
"CVCL_1067",8
"CVCL_1092",9
"CVCL_0234",10
"CVCL_0201",11
"CVCL_0207",12
"CVCL_0218",13
"CVCL_0219",14
"CVCL_0248",15
"CVCL_0105",16
"CVCL_1813",17
"CVCL_1195",18
"CVCL_3509",19
"CVCL_1266",20
"CVCL_0291",21
"CVCL_0292",22
"CVCL_A794",23
"CVCL_1285",24
"CVCL_1286",25
"CVCL_0332",26
"CVCL_0318",27
"CVCL_0320",28
"CVCL_1304",29
"CVCL_0004",30
"CVCL_1331",31
"CVCL_2094",32
"CVCL_0395",33
"CVCL_0399",34
"CVCL_1381",35
"CVCL_1395",36
"CVCL_1438",37
"CVCL_0031",38
"CVCL-0062",39
"CVCL_0417",40
"CVCL_0623",41
"CVCL_0419",42
"CVCL_0013",43
"CVCL_1430",44
"CVCL_1452",45
"CVCL_1483",46
"CVCL_1531",47
"CVCL_1544",48
"CVCL_1547",49
"CVCL_1557",50
"CVCL_0459",51
"CVCL_1566",52
"CVCL_1567",53
"CVCL_1621",54
"CVCL_3768",55
"CVCL_0465",56
"CVCL_1627",57
"CVCL_1628",58
"CVCL_1629",59
"CVCL_0479",60
"CVCL_0035",61
"CVCL_0504",62
"CVCL_1666",63
"CVCL_0014",64
"CVCL_1673",65
"CVCL_1689",66
"CVCL_1690",67
"CVCL_1691",68
"CVCL_0069",69
"CVCL_0526",70
"CVCL_0039",71
"CVCL_0527",72
"CVCL_0630",73
"CVCL_0532",74
"CVCL_1705",75
"CVCL_0535",76
"CVCL_1706",77
"CVCL_1711",78
"CVCL_0547",79
"CVCL_1729",80
"CVCL_0553",81
"CVCL_1773",82
"CVCL_0021",83
"CVCL_1779",84
"CVCL_1780",85
"CVCL_1911",86
"CVCL_B079",87
"CVCL_B078",88
"CVCL_2235",89
"CVCL_0588",90
"CVCL_A426",91
"CVCL_0556",92
"CVCL_A442",93
"CVCL_0080",94
"CVCL_V618",95
"CVCL_0009",96
"CVCL_2096",97
"CVCL_1361",98
"CVCL_0480",99
"CVCL_1649",100
"CVCL_M599",101
"CVCL_A770",102
"CVCL_IT41",103
"CVCL_7151",104
"CVCL_2213",105
"CVCL_2220",106
"NA",107
"CVCL_VT28",108
"CVCL_VT33",109
"CVCL_JF68",110
