cellosaurus_accession,id
CVCL_1051,1
CVCL_1059,2
CVCL_0134,3
CVCL_0132,4
CVCL_1055,5
CVCL_1056,6
CVCL_0023,7
CVCL_1067,8
CVCL_1092,9
CVCL_0234,10
CVCL_0201,11
CVCL_0207,12
CVCL_0218,13
CVCL_0219,14
CVCL_0248,15
CVCL_0105,16
CVCL_1813,17
CVCL_1195,18
CVCL_3509,19
CVCL_1266,20
CVCL_0291,21
CVCL_0292,22
CVCL_A794,23
CVCL_1285,24
CVCL_1286,25
CVCL_0332,26
CVCL_0318,27
CVCL_0320,28
CVCL_1304,29
CVCL_0004,30
CVCL_1331,31
CVCL_2094,32
CVCL_0395,33
CVCL_0399,34
CVCL_1381,35
CVCL_1395,36
CVCL_1438,37
CVCL_0031,38
CVCL-0062,39
CVCL_0417,40
CVCL_0623,41
CVCL_0419,42
CVCL_0013,43
CVCL_1430,44
CVCL_1452,45
CVCL_1483,46
CVCL_1531,47
CVCL_1544,48
CVCL_1547,49
CVCL_1557,50
CVCL_0459,51
CVCL_1566,52
CVCL_1567,53
CVCL_1621,54
CVCL_3768,55
CVCL_0465,56
CVCL_1627,57
CVCL_1628,58
CVCL_1629,59
CVCL_0479,60
CVCL_0035,61
CVCL_0504,62
CVCL_1666,63
CVCL_0014,64
CVCL_1673,65
CVCL_1689,66
CVCL_1690,67
CVCL_1691,68
CVCL_0069,69
CVCL_0526,70
CVCL_0039,71
CVCL_0527,72
CVCL_0630,73
CVCL_0532,74
CVCL_1705,75
CVCL_0535,76
CVCL_1706,77
CVCL_1711,78
CVCL_0547,79
CVCL_1729,80
CVCL_0553,81
CVCL_1773,82
CVCL_0021,83
CVCL_1779,84
CVCL_1780,85
CVCL_1911,86
CVCL_B079,87
CVCL_B078,88
CVCL_2235,89
CVCL_0588,90
CVCL_A426,91
CVCL_0556,92
CVCL_A442,93
CVCL_0080,94
CVCL_V618,95
CVCL_0009,96
CVCL_2096,97
CVCL_1361,98
CVCL_0480,99
CVCL_1649,100
CVCL_M599,101
CVCL_A770,102
CVCL_IT41,103
CVCL_7151,104
CVCL_2213,105
CVCL_2220,106
NA,107
CVCL_VT28,108
CVCL_VT33,109
CVCL_JF68,110
CVCL_2088,111
CVCL_5997,112
CVCL_M605,113
CVCL_0110,114
CVCL_2270,115
CVCL_3040,116
CVCL_4688,117
CVCL_U759,118
CVCL_X481,119
CVCL_7931,120
CVCL_7932,121
CVCL_7933,122
CVCL_7934,123
CVCL_1045,124
CVCL_1046,125
CVCL_7935,126
CVCL_7937,127
CVCL_1798,128
CVCL_6357,129
CVCL_8052,130
CVCL_0126,131
CVCL_2291,132
CVCL_9875,133
CVCL_8054,134
CVCL_1048,135
CVCL_1049,136
CVCL_0079,137
CVCL_1050,138
CVCL_1052,139
CVCL_1053,140
CVCL_1054,141
CVCL_4632,142
CVCL_8481,143
CVCL_0131,144
CVCL_1058,145
CVCL_1060,146
CVCL_1063,147
CVCL_0037,148
CVCL_1065,149
CVCL_1057,150
CVCL_1062,151
CVCL_1064,152
CVCL_1066,153
CVCL_5113,154
CVCL_6876,155
CVCL_1068,156
CVCL_0139,157
CVCL_1069,158
CVCL_1805,159
CVCL_1070,160
CVCL_1071,161
CVCL_1806,162
CVCL_0028,163
CVCL_1072,164
CVCL_2856,165
CVCL_0152,166
CVCL_1073,167
CVCL_2299,168
CVCL_1074,169
CVCL_2862,170
CVCL_0153,171
CVCL_1075,172
CVCL_1076,173
CVCL_1077,174
CVCL_1078,175
CVCL_1079,176
CVCL_1856,177
CVCL_1080,178
CVCL_1958,179
CVCL_0107,180
CVCL_4613,181
CVCL_1081,182
CVCL_1093,183
CVCL_1082,184
CVCL_1083,185
CVCL_1084,186
CVCL_3360,187
CVCL_1085,188
CVCL_1086,189
CVCL_2307,190
CVCL_2308,191
CVCL_2309,192
CVCL_2310,193
CVCL_2312,194
CVCL_2313,195
CVCL_2314,196
CVCL_2315,197
CVCL_6573,198
CVCL_5711,199
CVCL_1087,200
CVCL_1088,201
CVCL_1089,202
CVCL_1090,203
CVCL_1091,204
CVCL_M155,205
CVCL_M156,206
CVCL_0178,207
CVCL_0179,208
CVCL_2319,209
CVCL_UK63,210
CVCL_UK68,211
CVCL_0181,212
CVCL_0186,213
CVCL_1094,214
CVCL_2253,215
CVCL_S959,216
CVCL_1096,217
CVCL_1097,218
CVCL_2324,219
CVCL_1099,220
CVCL_1100,221
CVCL_1101,222
CVCL_1102,223
CVCL_0025,224
CVCL_1103,225
CVCL_0235,226
CVCL_1104,227
CVCL_1105,228
CVCL_1106,229
CVCL_1107,230
CVCL_1808,231
CVCL_1108,232
CVCL_1109,233
CVCL_1110,234
CVCL_1111,235
CVCL_1112,236
CVCL_1113,237
CVCL_1809,238
CVCL_1114,239
CVCL_0608,240
CVCL_0609,241
CVCL_0236,242
CVCL_1115,243
CVCL_0202,244
CVCL_0237,245
CVCL_0026,246
CVCL_1116,247
CVCL_1117,248
CVCL_1118,249
CVCL_2873,250
CVCL_1860,251
CVCL_0209,252
CVCL_1119,253
CVCL_1120,254
CVCL_5723,255
CVCL_1121,256
CVCL_1122,257
CVCL_1123,258
CVCL_1124,259
CVCL_1125,260
CVCL_X483,261
CVCL_X484,262
CVCL_X485,263
CVCL_1861,264
CVCL_U797,265
CVCL_1978,266
CVCL_1979,267
CVCL_1980,268
CVCL_1982,269
CVCL_0216,270
CVCL_0217,271
CVCL_2804,272
CVCL_1126,273
CVCL_1987,274
CVCL_1988,275
CVCL_1989,276
CVCL_0220,277
CVCL_1128,278
CVCL_1862,279
CVCL_1129,280
CVCL_1130,281
CVCL_1131,282
CVCL_1132,283
CVCL_1992,284
CVCL_1994,285
CVCL_1133,286
CVCL_1996,287
CVCL_1997,288
CVCL_1134,289
CVCL_2408,290
CVCL_1135,291
CVCL_1998,292
CVCL_1136,293
CVCL_1137,294
CVCL_2002,295
CVCL_2003,296
CVCL_2004,297
CVCL_1138,298
CVCL_1139,299
CVCL_2409,300
CVCL_2410,301
CVCL_1140,302
CVCL_2411,303
CVCL_2412,304
CVCL_2413,305
CVCL_2414,306
CVCL_2415,307
CVCL_2416,308
CVCL_1141,309
CVCL_2418,310
CVCL_2419,311
CVCL_2420,312
CVCL_2422,313
CVCL_2423,314
CVCL_2010,315
CVCL_2424,316
CVCL_2425,317
CVCL_1143,318
CVCL_1144,319
CVCL_1145,320
CVCL_1146,321
CVCL_1147,322
CVCL_1810,323
CVCL_T023,324
CVCL_1149,325
CVCL_1150,326
CVCL_1151,327
CVCL_2011,328
CVCL_1153,329
CVCL_1154,330
CVCL_1156,331
CVCL_1158,332
CVCL_1160,333
CVCL_1162,334
CVCL_1164,335
CVCL_1166,336
CVCL_1155,337
CVCL_0018,338
