"id","tname"
11,"bone"
1,"brain"
2,"breast"
3,"colon"
4,"haematopoietic_and_lymphoid"
5,"kidney"
6,"large_intestine"
7,"lung"
8,"ovary"
12,"pancreas"
9,"prostate"
10,"skin"
13,"soft_tissue"
14,"endometrium"
15,"cartilage"
16,"stomach"
17,"urinary_tract"
18,"thyroid"
19,"salivary_gland"
20,"pleura"
21,"autonomic_ganglia"
22,"small_intestine"
23,"upper_aerodigestive_tract"
24,"cervix"
25,"vulva"
26,"oesophagus"
27,"gastrointestinal_tract_(site_indeterminate)"
28,"biliary_tract"
29,"uterus"
30,"adrenal_gland"
31,"liver"
32,"placenta"
33,"testis"
