"conc_r","conc_c","response","synergy_zip","synergy_loewe","synergy_bliss","synergy_hsa","block_id","drug_row","drug_col","conc_r_unit","conc_c_unit"
0,0,-0.001,0,0,0,0,1,"5-FU","ABT-888","uM","uM"
0.1166667,0,0.064,0.168,0.011,0.015,0.017,1,"5-FU","ABT-888","uM","uM"
0.2333333,0,0.01,0.149,-0.064,-0.061,-0.06,1,"5-FU","ABT-888","uM","uM"
0.35,0,0.078,0,0,0,0,1,"5-FU","ABT-888","uM","uM"
0.5933333,0,-0.25,0.131,-0.225,-0.228,-0.228,1,"5-FU","ABT-888","uM","uM"
0.8366667,0,0.015,0.127,-0.199,-0.201,-0.202,1,"5-FU","ABT-888","uM","uM"
1.08,0,1.284,0,0,0,0,1,"5-FU","ABT-888","uM","uM"
1.8033333,0,4.374,0.061,0.137,0.14,0.139,1,"5-FU","ABT-888","uM","uM"
2.5266667,0,8.458,0.071,0.143,0.146,0.145,1,"5-FU","ABT-888","uM","uM"
3.25,0,13.469,0,0,0,0,1,"5-FU","ABT-888","uM","uM"
5.5,0,20.57,-0.155,0.201,0.21,0.208,1,"5-FU","ABT-888","uM","uM"
7.75,0,27.809,-0.093,0.168,0.179,0.177,1,"5-FU","ABT-888","uM","uM"
10,0,34.29,0,0,0,0,1,"5-FU","ABT-888","uM","uM"
0,0.1166667,-0.381,-0.021,-0.33,-0.329,-0.328,1,"5-FU","ABT-888","uM","uM"
0.1166667,0.1166667,-0.297,0.374,-0.301,-0.288,-0.284,1,"5-FU","ABT-888","uM","uM"
0.2333333,0.1166667,-0.607,0.58,-0.587,-0.572,-0.568,1,"5-FU","ABT-888","uM","uM"
0.35,0.1166667,-0.863,0.596,-0.737,-0.719,-0.715,1,"5-FU","ABT-888","uM","uM"
0.5933333,0.1166667,-0.774,0.481,-0.516,-0.489,-0.487,1,"5-FU","ABT-888","uM","uM"
0.8366667,0.1166667,0.016,0.17,0.037,0.078,0.08,1,"5-FU","ABT-888","uM","uM"
1.08,0.1166667,1.902,-0.295,0.7,0.757,0.76,1,"5-FU","ABT-888","uM","uM"
1.8033333,0.1166667,5.304,-0.811,1.344,1.418,1.421,1,"5-FU","ABT-888","uM","uM"
2.5266667,0.1166667,10.032,-1.46,1.919,2.005,2.007,1,"5-FU","ABT-888","uM","uM"
3.25,0.1166667,15.958,-2.357,2.33,2.424,2.426,1,"5-FU","ABT-888","uM","uM"
5.5,0.1166667,23.045,-3.483,2.548,2.648,2.648,1,"5-FU","ABT-888","uM","uM"
7.75,0.1166667,30.332,-4.547,2.515,2.611,2.61,1,"5-FU","ABT-888","uM","uM"
10,0.1166667,36.754,-5.511,2.407,2.483,2.484,1,"5-FU","ABT-888","uM","uM"
0,0.2333333,-0.463,-0.006,-0.42,-0.42,-0.419,1,"5-FU","ABT-888","uM","uM"
0.1166667,0.2333333,-0.261,0.686,-0.283,-0.268,-0.263,1,"5-FU","ABT-888","uM","uM"
0.2333333,0.2333333,-0.8,1.241,-0.819,-0.796,-0.79,1,"5-FU","ABT-888","uM","uM"
0.35,0.2333333,-1.344,1.45,-1.27,-1.235,-1.231,1,"5-FU","ABT-888","uM","uM"
0.5933333,0.2333333,-0.721,1.113,-0.516,-0.457,-0.453,1,"5-FU","ABT-888","uM","uM"
0.8366667,0.2333333,0.66,0.428,0.583,0.675,0.679,1,"5-FU","ABT-888","uM","uM"
1.08,0.2333333,2.913,-0.467,1.554,1.684,1.688,1,"5-FU","ABT-888","uM","uM"
1.8033333,0.2333333,6.64,-1.595,2.571,2.734,2.738,1,"5-FU","ABT-888","uM","uM"
2.5266667,0.2333333,12.001,-2.965,3.78,3.971,3.975,1,"5-FU","ABT-888","uM","uM"
3.25,0.2333333,18.6,-4.767,4.814,5.024,5.027,1,"5-FU","ABT-888","uM","uM"
5.5,0.2333333,25.684,-7.187,5.074,5.287,5.288,1,"5-FU","ABT-888","uM","uM"
7.75,0.2333333,32.861,-9.772,5.019,5.22,5.219,1,"5-FU","ABT-888","uM","uM"
10,0.2333333,39.282,-11.711,4.916,5.085,5.086,1,"5-FU","ABT-888","uM","uM"
0,0.35,0.002,0,0,0,0,1,"5-FU","ABT-888","uM","uM"
0.1166667,0.35,0.883,0.986,0.809,0.827,0.832,1,"5-FU","ABT-888","uM","uM"
0.2333333,0.35,0.82,1.846,0.701,0.733,0.74,1,"5-FU","ABT-888","uM","uM"
0.35,0.35,-0.156,2.302,-0.295,-0.24,-0.234,1,"5-FU","ABT-888","uM","uM"
0.5933333,0.35,1.121,1.665,1.159,1.258,1.263,1,"5-FU","ABT-888","uM","uM"
0.8366667,0.35,2.256,0.621,2.007,2.162,2.167,1,"5-FU","ABT-888","uM","uM"
1.08,0.35,4.029,-0.645,2.521,2.74,2.746,1,"5-FU","ABT-888","uM","uM"
1.8033333,0.35,7.605,-2.344,3.339,3.612,3.616,1,"5-FU","ABT-888","uM","uM"
2.5266667,0.35,13.236,-4.304,4.847,5.166,5.171,1,"5-FU","ABT-888","uM","uM"
3.25,0.35,20.443,-6.737,6.621,6.969,6.974,1,"5-FU","ABT-888","uM","uM"
5.5,0.35,27.402,-10.339,6.707,7.055,7.056,1,"5-FU","ABT-888","uM","uM"
7.75,0.35,34.668,-14.14,6.748,7.071,7.071,1,"5-FU","ABT-888","uM","uM"
10,0.35,41.452,-17.147,6.879,7.158,7.162,1,"5-FU","ABT-888","uM","uM"
0,0.5933333,0.446,0.061,0.445,0.439,0.437,1,"5-FU","ABT-888","uM","uM"
0.1166667,0.5933333,3.163,1.221,3.069,3.091,3.097,1,"5-FU","ABT-888","uM","uM"
0.2333333,0.5933333,5.365,2.194,5.224,5.272,5.282,1,"5-FU","ABT-888","uM","uM"
0.35,0.5933333,6.187,2.541,6.071,6.161,6.171,1,"5-FU","ABT-888","uM","uM"
0.5933333,0.5933333,5.825,1.925,5.764,5.918,5.927,1,"5-FU","ABT-888","uM","uM"
0.8366667,0.5933333,4.85,0.626,4.417,4.655,4.66,1,"5-FU","ABT-888","uM","uM"
1.08,0.5933333,5.007,-1.036,3.22,3.548,3.552,1,"5-FU","ABT-888","uM","uM"
1.8033333,0.5933333,7.753,-2.997,3.235,3.646,3.651,1,"5-FU","ABT-888","uM","uM"
2.5266667,0.5933333,13.049,-5.345,4.39,4.865,4.873,1,"5-FU","ABT-888","uM","uM"
3.25,0.5933333,19.994,-8.376,5.822,6.331,6.34,1,"5-FU","ABT-888","uM","uM"
5.5,0.5933333,27.529,-12.265,6.651,7.16,7.163,1,"5-FU","ABT-888","uM","uM"
7.75,0.5933333,35.132,-16.299,7.152,7.624,7.625,1,"5-FU","ABT-888","uM","uM"
10,0.5933333,41.909,-18.957,7.416,7.819,7.828,1,"5-FU","ABT-888","uM","uM"
0,0.8366667,0.595,0.05,0.583,0.577,0.575,1,"5-FU","ABT-888","uM","uM"
0.1166667,0.8366667,5.593,1.425,5.493,5.525,5.533,1,"5-FU","ABT-888","uM","uM"
0.2333333,0.8366667,11.065,2.556,10.903,10.975,10.991,1,"5-FU","ABT-888","uM","uM"
0.35,0.8366667,14.043,2.947,13.872,14.008,14.029,1,"5-FU","ABT-888","uM","uM"
0.5933333,0.8366667,11.684,2.273,11.533,11.766,11.786,1,"5-FU","ABT-888","uM","uM"
0.8366667,0.8366667,7.46,0.745,6.907,7.258,7.274,1,"5-FU","ABT-888","uM","uM"
1.08,0.8366667,5.246,-1.172,3.306,3.784,3.793,1,"5-FU","ABT-888","uM","uM"
1.8033333,0.8366667,7.21,-3.123,2.494,3.094,3.105,1,"5-FU","ABT-888","uM","uM"
2.5266667,0.8366667,12.159,-5.459,3.274,3.96,3.978,1,"5-FU","ABT-888","uM","uM"
3.25,0.8366667,18.882,-8.527,4.486,5.21,5.23,1,"5-FU","ABT-888","uM","uM"
5.5,0.8366667,26.874,-12.32,5.795,6.519,6.521,1,"5-FU","ABT-888","uM","uM"
7.75,0.8366667,34.997,-16.358,6.839,7.503,7.503,1,"5-FU","ABT-888","uM","uM"
10,0.8366667,42.11,-19.091,7.447,8.004,8.023,1,"5-FU","ABT-888","uM","uM"
0,1.08,0.035,0,0,0,0,1,"5-FU","ABT-888","uM","uM"
0.1166667,1.08,6.735,1.706,6.648,6.692,6.705,1,"5-FU","ABT-888","uM","uM"
0.2333333,1.08,14.426,3.141,14.242,14.345,14.37,1,"5-FU","ABT-888","uM","uM"
0.35,1.08,20.452,3.778,20.134,20.334,20.373,1,"5-FU","ABT-888","uM","uM"
0.5933333,1.08,15.413,3.074,15.158,15.506,15.552,1,"5-FU","ABT-888","uM","uM"
0.8366667,1.08,9.133,1.428,8.473,8.994,9.041,1,"5-FU","ABT-888","uM","uM"
1.08,1.08,4.927,-0.67,2.909,3.605,3.643,1,"5-FU","ABT-888","uM","uM"
1.8033333,1.08,7.202,-2.206,2.279,3.157,3.191,1,"5-FU","ABT-888","uM","uM"
2.5266667,1.08,11.953,-4.121,2.833,3.83,3.861,1,"5-FU","ABT-888","uM","uM"
3.25,1.08,18.196,-6.755,3.665,4.694,4.727,1,"5-FU","ABT-888","uM","uM"
5.5,1.08,26.618,-9.963,5.297,6.328,6.313,1,"5-FU","ABT-888","uM","uM"
7.75,1.08,35.115,-13.77,6.662,7.599,7.578,1,"5-FU","ABT-888","uM","uM"
10,1.08,42.588,-17.155,7.511,8.272,8.298,1,"5-FU","ABT-888","uM","uM"
0,1.8033333,0.597,0.104,0.615,0.601,0.603,1,"5-FU","ABT-888","uM","uM"
0.1166667,1.8033333,6.152,2.143,6.096,6.152,6.168,1,"5-FU","ABT-888","uM","uM"
0.2333333,1.8033333,12.284,3.969,12.126,12.272,12.305,1,"5-FU","ABT-888","uM","uM"
0.35,1.8033333,15.876,4.859,15.623,15.919,15.977,1,"5-FU","ABT-888","uM","uM"
0.5933333,1.8033333,14.007,4.395,13.639,14.156,14.243,1,"5-FU","ABT-888","uM","uM"
0.8366667,1.8033333,10.057,2.938,9.146,9.919,10.034,1,"5-FU","ABT-888","uM","uM"
1.08,1.8033333,7.763,1.249,5.336,6.367,6.494,1,"5-FU","ABT-888","uM","uM"
1.8033333,1.8033333,9.236,-0.076,3.906,5.177,5.284,1,"5-FU","ABT-888","uM","uM"
2.5266667,1.8033333,13.482,-1.348,3.9,5.337,5.395,1,"5-FU","ABT-888","uM","uM"
3.25,1.8033333,19.679,-3.01,4.577,6.069,6.073,1,"5-FU","ABT-888","uM","uM"
5.5,1.8033333,27.572,-5.205,5.832,7.276,7.24,1,"5-FU","ABT-888","uM","uM"
7.75,1.8033333,35.836,-7.765,7.096,8.394,8.348,1,"5-FU","ABT-888","uM","uM"
10,1.8033333,43.105,-9.882,7.954,9.024,9.012,1,"5-FU","ABT-888","uM","uM"
0,2.5266667,0.557,0.108,0.472,0.458,0.462,1,"5-FU","ABT-888","uM","uM"
